account,sn,text,embed,uri,clean_uri,translated_text,label
sanmarcos.bsky.social,4.0,"❗️russia destroyed the warehouse of one of ukraine's largest pharmaceutical distributors — ""optima-pharm"", - ep

it served the southern regions. this is already the second large-scale warehouse with medicines, the first was in october.

t.me/dnipro_dnepr...","images=[Image(alt='', image=BlobRef(mime_type='image/jpeg', size=86076, ref=IpldLink(link='bafkreigmnytnogoiz6pvgplqspefo4shu7zhunpvlcbgkzizm3rqemw3va'), py_type='blob'), aspect_ratio=AspectRatio(height=416, width=770, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image')] py_type='app.bsky.embed.images'",t.me/dnipro_dnepr...,dnipro_dnepr...,"❗️russia destroyed the warehouse of one of ukraine's largest pharmaceutical distributors — ""optima-pharm"", - ep

it served the southern regions. this is already the second large-scale warehouse with medicines, the first was in october.

t.me/dnipro_dnepr...",0.0
rvps2001.vonhaller.social.ap.brid.gy,5.0,"⚡️⚡️⚡️the ukrainian armed forces' line of defense east of the zaporizhzhia region has ""collapsed,"" says german journalist and supporter of the #kiev regime julian röpke. after the loss of uspenovka, the ukrainian front line has locally collapsed ea...
https://t.me/i20028843/269262","external=External(description='⚡️⚡️⚡️The Ukrainian Armed Forces\' line of defense east of the Zaporizhzhia region has ""collapsed,"" says German journalist and supporter of the Kiev regime Julian Röpke. After the loss of Uspenovka, the Ukrainian front line has locally collapsed east of the Zaporizhzhia region. Over the weekend, Russian troops captured Rybino, Sladkoe, and Novoe and reached the outskirts of Rovnopol,"" he complains. According to him, after the liberation of Uspenovka, ""there were no defensive positions or Ukrainian troops left that could slow down the advance of Russian troops."" The Russians have covered 8 km in two days and have no intention of stopping,"" Röpke concluded⚡️⚡️⚡️', title='🇷🇺IL RUSSO🇷🇺', uri='https://t.me/i20028843/269262', thumb=BlobRef(mime_type='image/jpeg', size=18857, ref=IpldLink(link='bafkreieyxtu4cwkgi6y3qjzm5xjff26rkhfak35zkhiahaactmsgilmpza'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/i20028843/269262,i20028843,"⚡️⚡️⚡️the ukrainian armed forces' line of defense east of the zaporizhzhia region has ""collapsed,"" says german journalist and supporter of the #kiev regime julian röpke. after the loss of uspenovka, the ukrainian front line has locally collapsed ea...
https://t.me/i20028843/269262",1.0
uaid.defenseofliberty.social.ap.brid.gy,38.0,"‼️uusi: 86 % pcr-positiivisista ""covid-tapauksista"" ei ollut todellisia tartuntoja uusi saksalainen tutkimus osoittaa, että pandemian alkuvaiheessa vain 14 % pcr-""covid-tapauksista"" oli todellisia – mikä osoittaa, että sulkutoimet ja rokotusmäärä...
https://t.me/uutishuone/1362476","external=External(description='‼️UUSI: 86 % PCR-positiivisista ""COVID-tapauksista"" ei ollut todellisia tartuntoja Uusi saksalainen tutkimus osoittaa, että pandemian alkuvaiheessa vain 14 % PCR-""COVID-tapauksista"" oli todellisia – mikä osoittaa, että sulkutoimet ja rokotusmääräykset perustuivat vilpilliseen testausilluusioon. PCR-teknologia ja testauskynnykset standardoitiin WHO:n jäsenvaltioissa. Tämä tarkoittaa, että sama vääristymä todennäköisesti tapahtui kaikkialla – systeeminen diagnostinen inflaatio, joka saattaa olla suurin yksittäinen petos kansanterveyden historiassa. Näitä taktiikoita käytettiin todennäköisesti pelon lisäämiseen sulkutoimien ja kokeellisten geenipohjaisten ""rokotteiden"" noudattamisen tehostamiseksi. Jälleen kerran me, foliohattufanit, olimme oikeassa. https://t.me/LauraAbolichannel', title='Uutishuone', uri='https://t.me/uutishuone/1362476', thumb=BlobRef(mime_type='image/jpeg', size=21431, ref=IpldLink(link='bafkreie46jseug2hpkdjcj3crppjpahjbgsycdqfeq6dqyht2kxiu7id5y'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/uutishuone/1362476,uutishuone,"‼️uusi: 86% of pcr-positive ""covid cases"" were not real infections new German study shows that in the early stages of the pandemic only 14% of pcr ""covid cases"" were real - indicating that containment and vaccination rates...
https://t.me/uutishuone/1362476",1.0
rvps2001.vonhaller.social.ap.brid.gy,17.0,"https://t.me/i20028843/269188
⚡️⚡️⚡️kupyansk - kolontayevka positional combat operations in #kupyansk. assault troops of the #russian federation armed forces advanced into the city by more than 1 km and reached new positions in the kolontayevka area, in the southern part of kup...","external=External(description='⚡️⚡️⚡️Kupyansk - Kolontayevka Positional combat operations in Kupyansk. Assault troops of the Russian Federation Armed Forces advanced into the city by more than 1 km and reached new positions in the Kolontayevka area, in the southern part of Kupyansk⚡️⚡️⚡️', title='🇷🇺IL RUSSO🇷🇺', uri='https://t.me/i20028843/269188', thumb=BlobRef(mime_type='image/jpeg', size=26477, ref=IpldLink(link='bafkreifsiaezio2iukmwvlnaj4xtje32bh2nsjmt4r5g5s7zfetybwp6ei'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/i20028843/269188,i20028843,"https://t.me/i20028843/269188
⚡️⚡️⚡️kupyansk - kolontayevka positional combat operations in #kupyansk. assault troops of the #russian federation armed forces advanced into the city by more than 1 km and reached new positions in the kolontayevka area, in the southern part of kup...",1.0
rvps2001.vonhaller.social.ap.brid.gy,23.0,"https://t.me/i20028843/269170
⚡️⚡️⚡️ukraine does not reject peace — we reject capitulation disguised as peace,"" said former commander-in-chief of the ukrainian armed forces #zaluzhny, now ukrainian ambassador to great britain. according to him, a just conclusion to the conflict...","external=External(description='⚡️⚡️⚡️Ukraine does not reject peace — we reject capitulation disguised as peace,"" said former Commander-in-Chief of the Ukrainian Armed Forces Zaluzhny, now Ukrainian Ambassador to Great Britain. According to him, a just conclusion to the conflict will be the restoration of the territorial integrity of the state, ""punishment of Russia for war crimes, and guarantees that no one will ever threaten Europe from Moscow again."" Anything less than that will be a betrayal not only of Ukrainians, but also of the principles that guarantee the security and freedom of the free world,"" the British agent said in an article for The New York Post⚡️⚡️⚡️', title='🇷🇺IL RUSSO🇷🇺', uri='https://t.me/i20028843/269170', thumb=BlobRef(mime_type='image/jpeg', size=42621, ref=IpldLink(link='bafkreibbzuy7bikugljzywdljs6f7e2wwi5tkzdjidony3n7aidwyy5ppm'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/i20028843/269170,i20028843,"https://t.me/i20028843/269170
⚡️⚡️⚡️ukraine does not reject peace — we reject capitulation disguised as peace,"" said former commander-in-chief of the ukrainian armed forces #zaluzhny, now ukrainian ambassador to great britain. according to him, a just conclusion to the conflict...",1.0
sanmarcos.bsky.social,2.0,"🇺🇦🇺🇦🇺🇦 there are casualties: russia attacked the odesa region with strike drones

as a result of the hits, fires broke out at energy and port infrastructure facilities. according to preliminary information, one person was injured.

t.me/odessa_infon...","images=[Image(alt='', image=BlobRef(mime_type='image/jpeg', size=806236, ref=IpldLink(link='bafkreihbyephysymytr7cdq3ikx5zqvcagm43vnj72ufj64cnbjg5uadxy'), py_type='blob'), aspect_ratio=AspectRatio(height=960, width=1280, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image'), Image(alt='', image=BlobRef(mime_type='image/jpeg', size=505365, ref=IpldLink(link='bafkreiefyu274qibfyz3cvbmcpij6eul6b32hfjohfwfhx6nomvwebidt4'), py_type='blob'), aspect_ratio=AspectRatio(height=960, width=1280, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image'), Image(alt='', image=BlobRef(mime_type='image/jpeg', size=522354, ref=IpldLink(link='bafkreicynjtrunkmg7im2qhapwnglsruorpo6ffkx6firf5eyhlsfzckhu'), py_type='blob'), aspect_ratio=AspectRatio(height=1200, width=1192, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image')] py_type='app.bsky.embed.images'",t.me/odessa_infon...,odessa_infon...,"🇺🇦🇺🇦🇺🇦 there are casualties: russia attacked the odesa region with strike drones

as a result of the hits, fires broke out at energy and port infrastructure facilities. according to preliminary information, one person was injured.

t.me/odessa_infon...",0.0
lcac4213.bsky.social,8.0,"3 países do brics estão entre as cinco maiores potências militares do mund, segundo ranking de 2025
3 membros centrais do brics logo atrás dos estados unidos  e à frente de potências ocidentais como reino unido e frança.
🇷🇺 rússia — 2º lugar
🇨🇳 china — 3º lugar
🇮🇳 índia — 4º lugar
t.me/sputnikbrasi...","images=[Image(alt='', image=BlobRef(mime_type='image/jpeg', size=404109, ref=IpldLink(link='bafkreid6pp6dtdvloj6ap24mkr5xtu3yhdod2hobtcbambfi5yyhl2dzle'), py_type='blob'), aspect_ratio=AspectRatio(height=1024, width=1024, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image')] py_type='app.bsky.embed.images'",t.me/sputnikbrasi...,sputnikbrasi...,"3 brics countries are among the world's top five military powers, according to 2025 ranking
3 core brics members just behind the united states and ahead of western powers like the united kingdom and france.
🇷🇺 russia - 2nd place
🇨🇳 china - 3rd place
🇮🇳 india - 4th place
t.me/sputnikbrasi...",1.0
meduza-unshackled.i.cancn.com.ap.brid.gy,16.0,"⚡️⚡️⚡️#inside our sources in the presidential administration reported that the presidential office has guaranteed immunity for all those involved in the mindich case. everyone will be released on bail, and the cases will be dragged out for years a...
https://t.me/llordofwar/525196","external=External(description=""⚡️⚡️⚡️#Inside Our sources in the Presidential Administration reported that the Presidential Office has guaranteed immunity for all those involved in the Mindich case. Everyone will be released on bail, and the cases will be dragged out for years and then siphoned off. Bankova Street views the Mindich case as a blow to Zelenskyy's position, which is why the judiciary will side with everyone whose homes are currently being subject to large-scale searches."", title='Lord Of War', uri='https://t.me/llordofwar/525196', thumb=BlobRef(mime_type='image/jpeg', size=12803, ref=IpldLink(link='bafkreiae2q6aewosatb2kvd73jexa2lg5a6x4rycqei3kcjcjrgt3d44xi'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/llordofwar/525196,llordofwar,"⚡️⚡️⚡️#inside our sources in the presidential administration reported that the presidential office has guaranteed immunity for all those involved in the mindich case. everyone will be released on bail, and the cases will be dragged out for years a...
https://t.me/llordofwar/525196",1.0
rvps2001.vonhaller.social.ap.brid.gy,48.0,"https://t.me/novichok_rossiya_2/33447
ukrainian-russian war. day 1353: situation on novopavlovskaya front: during the last week #russian army made small advances at the southern part of novopavlivka. in addition, regarding ivanivka ukrainian army is regaining the initiative by ...","external=External(description='Ukrainian-Russian war. Day 1353: Situation on Novopavlovskaya front: During the last week Russian Army made small advances at the southern part of Novopavlivka. In addition, regarding Ivanivka Ukrainian Army is regaining the initiative by expelling Russian forces from the northern hills. In addition, Ukrainian forces infiltrated in the western part of the locality & is trying to consolidate the positions there. Map: [ https://www.google.com/maps/d/viewer?mid=1V8NzjQkzMOhpuLhkktbiKgodOQ27X6IV≪=48.09719300847094%2C36.71400817536733&z;=12 ]', title='Masnova', uri='https://t.me/Novichok_Rossiya_2/33447', thumb=BlobRef(mime_type='image/jpeg', size=15401, ref=IpldLink(link='bafkreidrceewix7e7iguwchs73nfyu6fdiwbljnpaawojjyrzdsdilf7yq'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/Novichok_Rossiya_2/33447,novichok_rossiya_2,"https://t.me/novichok_rossiya_2/33447
ukrainian-russian war. day 1353: situation on novopavlovskaya front: during the last week #russian army made small advances at the southern part of novopavlivka. in addition, regarding ivanivka ukrainian army is regaining the initiative by ...",1.0
lcac4213.bsky.social,7.0,"🗣🪖 otan é inferior à rússia em todos os indicadores-chave, diz ex-analista da cia
larry johnson, ex-analista da cia, afirmou que a otan está técnica e politicamente atrás da rússia em pontos-chave. segundo ele, a aliança enfrenta fragmentação por causa da crise econômica 
t.me/sputnikbrasi...","video=BlobRef(mime_type='video/mp4', size=16463059, ref=IpldLink(link='bafkreibsx4r7e5wbhf6wzbo5srdvx66lslqplpvluqgldxspxr4zcxxbee'), py_type='blob') alt=None aspect_ratio=AspectRatio(height=1920, width=1080, py_type='app.bsky.embed.defs#aspectRatio') captions=None py_type='app.bsky.embed.video'",t.me/sputnikbrasi...,sputnikbrasi...,"🗣🪖 otan is inferior to russia in all key indicators, says former cia analyst
larry johnson, a former cia analyst, said that otan is technically and politically behind russia on key points. according to him, the alliance is facing fragmentation because of the economic crisis
t.me/sputnikbrasi...",1.0
bongeil.toot.blue.ap.brid.gy,8.0,"https://t.me/zradaxxii/45077
desperate #zelensky begs #russia talks; zaporozhye front collapses #pokrovsk #kupiansk #eu no asset theft","external=External(description='Desperate Zelensky Begs Russia Talks; Zaporozhye Front Collapses Pokrovsk Kupiansk EU No Asset Theft', title='ZradaXXII', uri='https://t.me/ZradaXXII/45077', thumb=BlobRef(mime_type='image/jpeg', size=15622, ref=IpldLink(link='bafkreihbxvu3eghaas4ecad3c4fogja2bbtxy3zqlbulfiixezack7fgem'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/ZradaXXII/45077,zradaxxii/45077,"https://t.me/zradaxxii/45077
desperate #zelensky begs #russia talks; zaporozhye front collapses #pokrovsk #kupiansk #eu no asset theft",0.0
rvps2001.vonhaller.social.ap.brid.gy,39.0,"german businessman and activist kim dotcom: there is no electricity in kyiv. all government power plants are offline. winter is coming. make peace. 🟥 website / subscribe original post join @translatedrussiannews
https://t.me/translatedrussiannews/39171","external=External(description='Original Post Join @TranslatedRussianNews', title='Translated Russian News', uri='https://t.me/translatedrussiannews/39171', thumb=BlobRef(mime_type='image/jpeg', size=10390, ref=IpldLink(link='bafkreicym7cew7u33pnenju7ijodbajm2m7eb4exdtwgetp7xhz42i5vg4'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/translatedrussiannews/39171,translatedrussiannews,"german businessman and activist kim dotcom: there is no electricity in kyiv. all government power plants are offline. winter is coming. make peace. 🟥 website / subscribe original post join @translatedrussiannews
https://t.me/translatedrussiannews/39171",1.0
makow.masto.popgeeks.com.ap.brid.gy,19.0,"https://t.me/uutishuone/1363196
⚡️⚠️⛽️🇵🇱🇺🇦 wall street journalin mukaan kiova myöntää, että puola auttoi ukrainaa välttämään saksan tunnistaman nord stream 2 -pommi-tapauksessa epäillyn tutkinnan. 📍sanomalehden mukaan ukrainalainen sukeltaja, jonka tutkijaryhmä jäljitti puolass...","external=External(description='⚡️⚠️⛽️🇵🇱🇺🇦 Wall Street Journalin mukaan Kiova myöntää, että Puola auttoi Ukrainaa välttämään Saksan tunnistaman Nord Stream 2 -pommi-tapauksessa epäillyn tutkinnan. 📍Sanomalehden mukaan ukrainalainen sukeltaja, jonka tutkijaryhmä jäljitti Puolassa, kuljetettiin Ukrainaan mustalla diplomaattisilla rekisterikilvillä varustetulla BMW:llä, jota ajoi Ukrainan sotilasattasea Varsovassa.', title='Uutishuone', uri='https://t.me/uutishuone/1363196', thumb=BlobRef(mime_type='image/jpeg', size=14631, ref=IpldLink(link='bafkreidzjbk3mvdpak626vekeqs5kxeesbw4wgwcjbvcwohv7az5jrq2sy'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/uutishuone/1363196,uutishuone,"https://t.me/uutishuone/1363196
⚡️⚠️⛽️🇵🇱🇺🇦 the wall street journal reports that kiowa admits that poland helped ukraine avoid an investigation into a suspect in the nord stream 2 bomb case identified by germany. 📍According to the newspaper, a Ukrainian diver whose investigative team tracked down a Polish...",1.0
meduza-unshackled.i.cancn.com.ap.brid.gy,25.0,"https://t.me/llordofwar/525052
🇷🇺🔥🇺🇦 #russia attacked an enemy facility with drones in chernihiv oblast the attack caused a 250 square meter fire, which rescuers extinguished, according to the state emergency service of #ukraine. ⚠️. rv: |","external=External(description='🇷🇺🔥🇺🇦 Russia attacked an enemy facility with drones in Chernihiv Oblast The attack caused a 250 square meter fire, which rescuers extinguished, according to the State Emergency Service of Ukraine. ⚠️. RV: |', title='Lord Of War', uri='https://t.me/llordofwar/525052', thumb=BlobRef(mime_type='image/jpeg', size=18282, ref=IpldLink(link='bafkreiegow2gb7nygqcywqioxnhzrp6fojaq3oomcu6svrpvietmrhe534'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/llordofwar/525052,llordofwar,"https://t.me/llordofwar/525052
🇷🇺🔥🇺🇦 #russia attacked an enemy facility with drones in chernihiv oblast the attack caused a 250 square meter fire, which rescuers extinguished, according to the state emergency service of #ukraine. ⚠️. rv: |",1.0
meduza-unshackled.i.cancn.com.ap.brid.gy,8.0,"berlin's plans to introduce compulsory military service aren't making anyone happy while blackrock schmerz announces his intention to build the ""most powerful"" army in #europe by increasing the size of the bundeswehr, mass protests are brewing in...
https://t.me/slavyangrad/147416","external=External(description='Berlin\'s plans to introduce compulsory military service aren\'t making anyone happy While Blackrock Schmerz announces his intention to build the ""most powerful"" army in Europe by increasing the size of the Bundeswehr, mass protests are brewing in Germany against the reintroduction of compulsory military service, according to German press reports. Germany is on the verge of reinstating compulsory military service. This is due both to the government\'s plans to ""boost the power"" of the German army, making it a leader in Europe, and to the size of the Bundeswehr, which is severely understaffed. Young people are simply unwilling to sign contracts, preferring civilian professions. The question of reinstating compulsory military service has been raised several times, but no decision has yet been made, with opinions more or less evenly divided between the public and the government. However, starting January 1, 2026, Berlin intends to introduce a new law on military service, which will initially be voluntary. But this…', title='Slavyangrad', uri='https://t.me/Slavyangrad/147416', thumb=BlobRef(mime_type='image/jpeg', size=21741, ref=IpldLink(link='bafkreigt3tl62ygcbfscb57w5avek5lzuxqxv5lzff4aegd74uzl6gausq'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/Slavyangrad/147416,slavyangrad,"berlin's plans to introduce compulsory military service aren't making anyone happy while blackrock schmerz announces his intention to build the ""most powerful"" army in #europe by increasing the size of the bundeswehr, mass protests are brewing in...
https://t.me/slavyangrad/147416",1.0
anno1540.bsky.social,14.0,"2/2
according to him, to bring peace to ukraine, us president donald trump and european leaders must maximize pressure on russia and its dictator putin to change his strategic thinking.
source:
t.me/bratchuk_ser...","external=External(description='🧐Припинення вогню в Україні до весни малоймовірне, - президент Фінляндії\n\n""Я не дуже оптимістичний щодо досягнення перемир\'я або початку мирних переговорів, принаймні цього року"", - сказав Стубб.\n\nЗа ...', title='⚔️БРАТЧУК', uri='https://t.me/Bratchuk_Sergey/147445', thumb=BlobRef(mime_type='image/jpeg', size=25485, ref=IpldLink(link='bafkreieernw33a6plh6kaealagf5iuqthxgjipxmhu7rhje7p7vbebxvry'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/Bratchuk_Sergey/147445,bratchuk_sergey/147445,"2/2
according to him, to bring peace to ukraine, us president donald trump and european leaders must maximize pressure on russia and its dictator putin to change his strategic thinking.
source:
t.me/bratchuk_ser...",0.0
putinsibs.bsky.social,6.0,"from t.me/pravdagerash...

#russian envoy #dmitriev openly admits that #russia has no intentions of restoring #ukrainian territorial integrity:

people say, no, #russia has to completely withdraw to its borders.
so they set it up to fail

(and #russia still says it's #ukraine & #europe who want war)","video=BlobRef(mime_type='video/mp4', size=2320495, ref=IpldLink(link='bafkreie52kpny4o2lzvvekv3ixjk53vfhsktnawmuq2rdoj7doaaa2rqga'), py_type='blob') alt=None aspect_ratio=AspectRatio(height=720, width=1280, py_type='app.bsky.embed.defs#aspectRatio') captions=None py_type='app.bsky.embed.video'",t.me/pravdagerash...,pravdagerash...,"from t.me/pravdagerash...

#russian envoy #dmitriev openly admits that #russia has no intentions of restoring #ukrainian territorial integrity:

people say, no, #russia has to completely withdraw to its borders.
so they set it up to fail

(and #russia still says it's #ukraine & #europe who want war)",0.0
lcac4213.bsky.social,10.0,"🇺🇦⚔️🇷🇺 as forças armadas da ucrânia lançaram tanques num contra-ataque perto de konstantinovka, mas foram recebidos com fogo pelo exército da rússia. 
o comando ucraniano lançou blindados num ataque na área de predtechino e a norte de stupochek, tentando desviar as uni....

t.me/sofia_smirnov74","video=BlobRef(mime_type='video/mp4', size=6610907, ref=IpldLink(link='bafkreifrc6hv5sje7mf2frzjcbijulutzz2tbhp3jad4bvukcxjpllnqsm'), py_type='blob') alt=None aspect_ratio=AspectRatio(height=650, width=1280, py_type='app.bsky.embed.defs#aspectRatio') captions=None py_type='app.bsky.embed.video'",t.me/sofia_smirnov74,sofia_smirnov74,"🇺🇦⚔️🇷🇺 the ukrainian armed forces launched tanks in a counter-attack near konstantinovka, but were met with fire by the russian army.
the ukrainian command launched armored vehicles in an attack in the predtechino area and north of stupochek, trying to divert the uni....

t.me/sofia_smirnov74",0.0
thomashesmert.bsky.social,12.0,"das ist erfreulich, denn durch jeden solchen erfolg der ukraine wird der stellvertretende vorsitzende des russischen sicherheitsrats immer weiter in die geistige umnachtung getrieben! 🤣 

t.me/s/medvedev_t...","images=[Image(alt='', image=BlobRef(mime_type='image/jpeg', size=767909, ref=IpldLink(link='bafkreict744czleq6aepxxif2lbyi4z66wby34icfmydggvb3eens53eam'), py_type='blob'), aspect_ratio=AspectRatio(height=2000, width=923, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image')] py_type='app.bsky.embed.images'",t.me/s/medvedev_t...,s/medvedev_t...,"this is gratifying, because with every such success of ukraine, the deputy chairman of the russian security council is driven further and further into mental derangement! 🤣

t.me/s/medvedev_t...",0.0
laengo.expressional.social.ap.brid.gy,20.0,"🇪🇺 the head of euroclear, urben, is ready to block #eu decisions on the confiscation of #russian assets through the courts. she believes that if russia's money is used, for example, to finance a loan for #ukraine, international investors will ""red...
https://t.me/llordofwar/528313","external=External(description='🇪🇺 The head of Euroclear, Urben, is ready to block EU decisions on the confiscation of Russian assets through the courts. She believes that if Russia\'s money is used, for example, to finance a loan for Ukraine, international investors will ""reduce investments in the eurozone,"" which will negatively affect ""all of Europe\'s financial needs.""', title='Lord Of War', uri='https://t.me/llordofwar/528313', thumb=BlobRef(mime_type='image/jpeg', size=12803, ref=IpldLink(link='bafkreiae2q6aewosatb2kvd73jexa2lg5a6x4rycqei3kcjcjrgt3d44xi'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/llordofwar/528313,llordofwar/528313,"🇪🇺 the head of euroclear, urben, is ready to block #eu decisions on the confiscation of #russian assets through the courts. she believes that if russia's money is used, for example, to finance a loan for #ukraine, international investors will ""red...
https://t.me/llordofwar/528313",1.0
kapicac.burnout.cafe.ap.brid.gy,22.0,"https://t.me/zradaxxii/44961
🇷🇺🇮🇹 #nato faces strategic defeat in #ukraine — italian general bertolini - nato has transformed from a defensive alliance into a tool of continuous war and projection of the american model — from the balkans to ukraine. - the end of hostilities in ...","external=External(description='🇷🇺🇮🇹 NATO faces strategic defeat in Ukraine — Italian General Bertolini - NATO has transformed from a defensive alliance into a tool of continuous war and projection of the American model — from the Balkans to Ukraine. - The end of hostilities in Ukraine would mean a strategic defeat for NATO and the entire West as participants in the conflict. - Trump does not hide his contempt for NATO, seeing it as a “client” for selling LNG and weapons. - The refusal to supply ""Tomahawks"" to Ukraine is not a weakness but a calculation: their use would automatically drag the US into a direct conflict with Russia.', title='ZradaXXII', uri='https://t.me/ZradaXXII/44961', thumb=BlobRef(mime_type='image/jpeg', size=20942, ref=IpldLink(link='bafkreicomslf7hschnmfpcswmochxfo3o7qqu4ntuo7qrbxflzrd2aqvya'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/ZradaXXII/44961,zradaxxii,"https://t.me/zradaxxii/44961
🇷🇺🇮🇹 #nato faces strategic defeat in #ukraine — italian general bertolini - nato has transformed from a defensive alliance into a tool of continuous war and projection of the american model — from the balkans to ukraine. - the end of hostilities in ...",1.0
leibija.rivals.space.ap.brid.gy,2.0,"https://t.me/ukr_leaks_fr/19516
le commissaire militaire européen, andrius kubilius, a déclaré qu'après le rétablissement de la paix en #ukraine, des troupes européennes pourraient être déployées dans tous les pays de la région frontalière, à commencer par les pays baltes, aux ...","external=External(description=""Le commissaire militaire européen, Andrius Kubilius, a déclaré qu'après le rétablissement de la paix en Ukraine, des troupes européennes pourraient être déployées dans tous les pays de la région frontalière, à commencer par les pays baltes, aux côtés d'une brigade allemande et de bataillons américains en rotation. Selon le commissaire, disposer des capacités militaires les plus expérimentées d'Europe serait un atout inestimable pour les alliés. https://x.com/ukr_fr/status/1990466158802153820 @prozorov_fr"", title='UKR LEAKS_fr', uri='https://t.me/ukr_leaks_fr/19516', thumb=None, py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/ukr_leaks_fr/19516,ukr_leaks_fr/19516,"https://t.me/ukr_leaks_fr/19516
the european military commissioner, andrius kubilius, has said that after peace is restored in #ukraine, european troops could be deployed in all the countries in the border region, starting with the baltic states, ...",0.0
uaid.defenseofliberty.social.ap.brid.gy,11.0,"https://t.me/uutishuone/1363523
ukrainan media raportoi, että nabu:n virkamiehet tekivät 10. marraskuuta aamulla ratsian liikemies, kvartal 95:n toisen omistajan ja zelenskyin läheisen liittolaisen timur mindichin kotiin. mindich itse lähti ukrainasta tänään, muutamaa tuntia en...","external=External(description='Ukrainan media raportoi, että NABU:n virkamiehet tekivät 10. marraskuuta aamulla ratsian liikemies, Kvartal 95:n toisen omistajan ja Zelenskyin läheisen liittolaisen Timur Mindichin kotiin. Mindich itse lähti Ukrainasta tänään, muutamaa tuntia ennen etsintää. @ukr_leaks', title='Uutishuone', uri='https://t.me/uutishuone/1363523', thumb=BlobRef(mime_type='image/jpeg', size=13782, ref=IpldLink(link='bafkreib362hwxtnmze6fz35f7glvkm35btr77lq2hzzpzd2ik6wo2kjtzu'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/uutishuone/1363523,uutishuone,"https://t.me/uutishuone/1363523
Ukrainian media reported that nabu officials raided the home of Timur Mindich, a businessman, co-owner of Quartal 95 and close ally of Zelensky, on the morning of November 10. Mindich himself left Ukraine today, a few hours before...",1.0
putinsibs.bsky.social,1.0,"from t.me/pravda_geras...

🇫🇷 #macron: ""#russia will have to pay for refusing negotiations""

the president of #france, after a conversation with #volodymyr_zelensky, stated that #russia will be held accountable if it continues to refuse peaceful negotiations on #ukraine.","images=[Image(alt='', image=BlobRef(mime_type='image/jpeg', size=219392, ref=IpldLink(link='bafkreidjc3hibp2md2u7k5u363zltxbrgldzvt2hfyzrmju6zdtqbpaneu'), py_type='blob'), aspect_ratio=AspectRatio(height=700, width=748, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image')] py_type='app.bsky.embed.images'",t.me/pravda_geras...,pravda_geras...,"from t.me/pravda_geras...

🇫🇷 #macron: ""#russia will have to pay for refusing negotiations""

the president of #france, after a conversation with #volodymyr_zelensky, stated that #russia will be held accountable if it continues to refuse peaceful negotiations on #ukraine.",0.0
